census_t_1,quarter,year.x,total,econ_crime,violent_crime,drug_crime,no_units,pop,crime_rate,stock_units,adj_population,crime_rate_adj
17031010100,1,1999,164,50,21,55,0,5391,30.4210721572992,0,5391,30.4210721572992
17031010100,2,1999,145,75,15,51,0,5391,26.8966796512706,0,5391,26.8966796512706
17031010100,3,1999,178,84,14,56,0,5391,33.017992951215,0,5391,33.017992951215
17031010100,4,1999,124,56,14,54,0,5391,23.001298460397,0,5391,23.001298460397
17031010100,1,2000,161,71,21,53,0,5391,29.8645891300315,0,5391,29.8645891300315
17031010100,2,2000,174,86,22,59,0,5391,32.2760155815248,0,5391,32.2760155815248
17031010100,3,2000,169,92,21,51,0,5391,31.348543869412,0,5391,31.348543869412
17031010100,4,2000,143,74,16,51,0,5391,26.5256909664255,0,5391,26.5256909664255
17031010100,1,2001,125,60,9,55,0,5391,23.1867928028195,0,5391,23.1867928028195
17031010100,2,2001,135,68,16,49,0,5391,25.0417362270451,0,5391,25.0417362270451
17031010100,3,2001,155,89,18,53,0,5391,28.7516230754962,0,5391,28.7516230754962
17031010100,4,2001,115,51,13,51,0,5391,21.331849378594,0,5391,21.331849378594
17031010100,1,2002,87,37,7,43,0,5391,16.1380077907624,0,5391,16.1380077907624
17031010100,2,2002,136,65,19,48,0,5391,25.2272305694676,0,5391,25.2272305694676
17031010100,3,2002,127,67,12,44,0,5391,23.5577814876646,0,5391,23.5577814876646
17031010100,4,2002,108,60,9,39,0,5391,20.0333889816361,0,5391,20.0333889816361
17031010100,1,2003,120,45,11,58,0,5391,22.2593210907067,0,5391,22.2593210907067
17031010100,2,2003,110,56,13,41,0,5391,20.4043776664812,0,5391,20.4043776664812
17031010100,3,2003,100,65,10,25,0,5391,18.5494342422556,0,5391,18.5494342422556
17031010100,4,2003,103,66,6,31,0,5391,19.1059172695233,0,5391,19.1059172695233
17031010100,1,2004,98,41,13,43,0,5391,18.1784455574105,0,5391,18.1784455574105
17031010100,2,2004,84,39,6,39,0,5391,15.5815247634947,0,5391,15.5815247634947
17031010100,3,2004,96,51,7,38,0,5391,17.8074568725654,0,5391,17.8074568725654
17031010100,4,2004,78,48,4,26,0,5391,14.4685587089594,0,5391,14.4685587089594
17031010100,1,2005,79,34,5,40,0,5391,14.6540530513819,0,5391,14.6540530513819
17031010100,2,2005,89,33,12,44,0,5391,16.5089964756075,0,5391,16.5089964756075
17031010100,3,2005,142,64,11,58,0,5391,26.340196624003,0,5391,26.340196624003
17031010100,4,2005,107,53,12,42,0,5391,19.8478946392135,0,5391,19.8478946392135
17031010100,1,2006,72,18,8,46,0,5391,13.355592654424,0,5391,13.355592654424
17031010100,2,2006,95,42,10,43,0,5391,17.6219625301428,0,5391,17.6219625301428
17031010100,3,2006,96,40,9,47,0,5391,17.8074568725654,0,5391,17.8074568725654
17031010100,4,2006,83,42,8,33,0,5391,15.3960304210722,0,5391,15.3960304210722
17031010100,1,2007,111,47,5,53,0,5391,20.5898720089037,0,5391,20.5898720089037
17031010100,2,2007,93,43,8,42,0,5391,17.2509738452977,0,5391,17.2509738452977
17031010100,3,2007,105,53,10,42,0,5391,19.4769059543684,0,5391,19.4769059543684
17031010100,4,2007,102,43,6,51,0,5391,18.9204229271007,0,5391,18.9204229271007
17031010100,1,2008,84,38,4,42,0,5391,15.5815247634947,0,5391,15.5815247634947
17031010100,2,2008,113,57,9,47,0,5391,20.9608606937488,0,5391,20.9608606937488
17031010100,3,2008,152,73,17,58,0,5391,28.1951400482285,0,5391,28.1951400482285
17031010100,4,2008,82,41,14,27,0,5391,15.2105360786496,0,5391,15.2105360786496
17031010100,1,2009,84,33,6,45,0,5391,15.5815247634947,0,5391,15.5815247634947
17031010100,2,2009,108,49,9,50,0,5391,20.0333889816361,0,5391,20.0333889816361
17031010100,3,2009,105,59,10,36,0,5391,19.4769059543684,0,5391,19.4769059543684
17031010100,4,2009,80,30,9,41,0,5391,14.8395473938045,0,5391,14.8395473938045
17031010100,1,2010,93,35,4,54,0,5391,17.2509738452977,0,5391,17.2509738452977
17031010100,2,2010,112,54,15,42,0,5391,20.7753663513263,0,5391,20.7753663513263
17031010100,3,2010,100,42,12,44,0,5391,18.5494342422556,0,5391,18.5494342422556
17031010100,4,2010,75,26,12,37,0,5391,13.9120756816917,0,5391,13.9120756816917
17031010200,1,1999,178,117,18,46,0,8826,20.1676863811466,0,8826,20.1676863811466
17031010200,2,1999,186,118,24,46,0,8826,21.0740992522094,0,8826,21.0740992522094
17031010200,3,1999,186,117,24,47,0,8826,21.0740992522094,0,8826,21.0740992522094
17031010200,4,1999,171,115,22,29,0,8826,19.3745751189667,0,8826,19.3745751189667
17031010200,1,2000,164,106,17,42,0,8826,18.5814638567868,0,8826,18.5814638567868
17031010200,2,2000,185,120,22,49,0,8826,20.9607976433265,0,8826,20.9607976433265
17031010200,3,2000,172,113,16,40,0,8826,19.4878767278495,0,8826,19.4878767278495
17031010200,4,2000,184,120,15,49,0,8826,20.8474960344437,0,8826,20.8474960344437
17031010200,1,2001,166,103,14,52,0,8826,18.8080670745525,0,8826,18.8080670745525
17031010200,2,2001,135,76,18,40,0,8826,15.2957171991842,0,8826,15.2957171991842
17031010200,3,2001,152,103,10,33,0,8826,17.2218445501926,0,8826,17.2218445501926
17031010200,4,2001,154,98,13,43,0,8826,17.4484477679583,0,8826,17.4484477679583
17031010200,1,2002,129,69,8,47,0,8826,14.6159075458872,0,8826,14.6159075458872
17031010200,2,2002,165,85,21,55,0,8826,18.6947654656696,0,8826,18.6947654656696
17031010200,3,2002,184,112,23,51,0,8826,20.8474960344437,0,8826,20.8474960344437
17031010200,4,2002,168,111,15,41,0,8826,19.0346702923182,0,8826,19.0346702923182
17031010200,1,2003,132,82,13,37,0,8826,14.9558123725357,0,8826,14.9558123725357
17031010200,2,2003,151,76,22,49,0,8826,17.1085429413098,0,8826,17.1085429413098
17031010200,3,2003,159,99,17,42,0,8826,18.0149558123725,0,8826,18.0149558123725
17031010200,4,2003,151,88,13,43,0,8826,17.1085429413098,0,8826,17.1085429413098
17031010200,1,2004,126,76,11,39,0,8826,14.2760027192386,0,8826,14.2760027192386
17031010200,2,2004,161,100,12,47,0,8826,18.2415590301382,0,8826,18.2415590301382
17031010200,3,2004,161,108,10,45,0,8826,18.2415590301382,0,8826,18.2415590301382
17031010200,4,2004,177,108,17,52,0,8826,20.0543847722638,0,8826,20.0543847722638
17031010200,1,2005,148,81,19,47,0,8826,16.7686381146612,0,8826,16.7686381146612
17031010200,2,2005,166,88,16,60,0,8826,18.8080670745525,0,8826,18.8080670745525
17031010200,3,2005,175,109,15,57,0,8826,19.8277815544981,0,8826,19.8277815544981
17031010200,4,2005,163,104,14,49,0,8826,18.4681622479039,0,8826,18.4681622479039
17031010200,1,2006,147,82,10,54,0,8826,16.6553365057784,0,8826,16.6553365057784
17031010200,2,2006,173,99,14,55,0,8826,19.6011783367324,0,8826,19.6011783367324
17031010200,3,2006,168,99,11,55,0,8826,19.0346702923182,0,8826,19.0346702923182
17031010200,4,2006,162,109,13,36,0,8826,18.3548606390211,0,8826,18.3548606390211
17031010200,1,2007,121,77,7,37,0,8826,13.7094946748244,0,8826,13.7094946748244
17031010200,2,2007,150,101,13,35,0,8826,16.9952413324269,0,8826,16.9952413324269
17031010200,3,2007,149,101,13,35,0,8826,16.8819397235441,0,8826,16.8819397235441
