monthofyear,year,tractce10,total,econ_crime,violent_crime,drug_crime
1,1999,540101,36,25,11,6
2,1999,540101,25,21,4,8
3,1999,540101,42,26,16,14
4,1999,540101,61,46,15,13
5,1999,540101,57,33,24,3
6,1999,540101,53,37,16,9
7,1999,540101,64,44,20,8
8,1999,540101,42,29,13,6
9,1999,540101,40,22,18,12
10,1999,540101,42,28,14,9
11,1999,540101,32,23,9,12
12,1999,540101,47,34,13,23
1,2000,540101,38,22,16,12
2,2000,540101,28,20,8,10
3,2000,540101,37,21,16,9
4,2000,540101,32,21,11,10
5,2000,540101,64,46,18,11
6,2000,540101,53,34,19,17
7,2000,540101,62,40,22,9
8,2000,540101,50,33,17,11
9,2000,540101,50,32,18,11
10,2000,540101,43,30,13,13
11,2000,540101,32,23,9,13
12,2000,540101,33,20,13,14
1,2001,540101,15,9,6,9
2,2001,540101,33,21,12,21
3,2001,540101,32,21,11,24
4,2001,540101,30,18,12,15
5,2001,540101,40,23,17,15
6,2001,540101,37,18,19,12
7,2001,540101,38,31,7,13
8,2001,540101,39,20,19,26
9,2001,540101,31,21,10,32
10,2001,540101,37,25,12,26
11,2001,540101,26,20,6,19
12,2001,540101,33,19,14,13
1,2002,540101,43,29,14,14
2,2002,540101,24,16,8,12
3,2002,540101,27,15,12,3
4,2002,540101,32,18,14,8
5,2002,540101,36,21,15,6
6,2002,540101,39,24,15,16
7,2002,540101,55,28,27,15
8,2002,540101,47,31,16,12
9,2002,540101,45,23,22,15
10,2002,540101,35,25,10,8
11,2002,540101,32,20,12,14
12,2002,540101,29,21,8,16
1,2003,540101,15,13,2,14
2,2003,540101,22,12,10,7
3,2003,540101,39,21,18,6
4,2003,540101,33,18,15,9
5,2003,540101,34,20,14,11
6,2003,540101,32,16,16,14
7,2003,540101,35,22,13,14
8,2003,540101,41,24,17,18
9,2003,540101,28,17,11,12
10,2003,540101,37,23,14,21
11,2003,540101,21,15,6,6
12,2003,540101,24,19,5,10
1,2004,540101,21,12,9,22
2,2004,540101,24,16,8,18
3,2004,540101,29,15,14,16
4,2004,540101,19,11,8,9
5,2004,540101,22,13,9,19
6,2004,540101,32,19,13,7
7,2004,540101,32,14,18,9
8,2004,540101,28,17,11,10
9,2004,540101,36,28,8,9
10,2004,540101,38,26,12,10
11,2004,540101,32,23,9,7
12,2004,540101,23,20,3,7
1,2005,540101,24,16,8,10
2,2005,540101,16,11,5,14
3,2005,540101,20,12,8,6
4,2005,540101,29,15,14,25
5,2005,540101,22,12,10,8
