census_t_1,quarter,year.x,total,econ_crime,violent_crime,drug_crime,no_units,pop,crime_rate,stock_units,adj_population,crime_rate_adj
17031010100,1,1999,73,50,23,94,0,5391,13.5410869968466,0,5391,13.5410869968466
17031010100,2,1999,91,75,16,54,0,5391,16.8799851604526,0,5391,16.8799851604526
17031010100,3,1999,98,84,14,97,0,5391,18.1784455574105,0,5391,18.1784455574105
17031010100,4,1999,70,56,14,54,0,5391,12.9846039695789,0,5391,12.9846039695789
17031010100,1,2000,100,71,29,73,0,5391,18.5494342422556,0,5391,18.5494342422556
17031010100,2,2000,109,86,23,65,0,5391,20.2188833240586,0,5391,20.2188833240586
17031010100,3,2000,114,92,22,55,0,5391,21.1463550361714,0,5391,21.1463550361714
17031010100,4,2000,92,74,18,51,0,5391,17.0654795028752,0,5391,17.0654795028752
17031010100,1,2001,69,60,9,56,0,5391,12.7991096271564,0,5391,12.7991096271564
17031010100,2,2001,84,68,16,51,0,5391,15.5815247634947,0,5391,15.5815247634947
17031010100,3,2001,111,93,18,55,0,5391,20.5898720089037,0,5391,20.5898720089037
17031010100,4,2001,64,51,13,51,0,5391,11.8716379150436,0,5391,11.8716379150436
17031010100,1,2002,44,37,7,43,0,5391,8.16175106659247,0,5391,8.16175106659247
17031010100,2,2002,85,65,20,51,0,5391,15.7670191059173,0,5391,15.7670191059173
17031010100,3,2002,79,67,12,48,0,5391,14.6540530513819,0,5391,14.6540530513819
17031010100,4,2002,69,60,9,39,0,5391,12.7991096271564,0,5391,12.7991096271564
17031010100,1,2003,56,45,11,64,0,5391,10.3876831756631,0,5391,10.3876831756631
17031010100,2,2003,69,56,13,41,0,5391,12.7991096271564,0,5391,12.7991096271564
17031010100,3,2003,75,65,10,25,0,5391,13.9120756816917,0,5391,13.9120756816917
17031010100,4,2003,72,66,6,31,0,5391,13.355592654424,0,5391,13.355592654424
17031010100,1,2004,55,41,14,43,0,5391,10.2021888332406,0,5391,10.2021888332406
17031010100,2,2004,45,39,6,39,0,5391,8.34724540901503,0,5391,8.34724540901503
17031010100,3,2004,58,51,7,38,0,5391,10.7586718605083,0,5391,10.7586718605083
17031010100,4,2004,52,48,4,26,0,5391,9.64570580597292,0,5391,9.64570580597292
17031010100,1,2005,39,34,5,40,0,5391,7.23427935447969,0,5391,7.23427935447969
17031010100,2,2005,45,33,12,44,0,5391,8.34724540901503,0,5391,8.34724540901503
17031010100,3,2005,75,64,11,67,0,5391,13.9120756816917,0,5391,13.9120756816917
17031010100,4,2005,65,53,12,42,0,5391,12.0571322574661,0,5391,12.0571322574661
17031010100,1,2006,26,18,8,46,0,5391,4.82285290298646,0,5391,4.82285290298646
17031010100,2,2006,52,42,10,43,0,5391,9.64570580597292,0,5391,9.64570580597292
17031010100,3,2006,49,40,9,47,0,5391,9.08922277870525,0,5391,9.08922277870525
17031010100,4,2006,50,42,8,33,0,5391,9.27471712112781,0,5391,9.27471712112781
17031010100,1,2007,52,47,5,59,0,5391,9.64570580597292,0,5391,9.64570580597292
